company,type_name,os,gpu_company,cpu_model,screen_type,touchscreen,ips_panel,ppi,ssd,hdd,flash_storage,hybrid,ram,weight,cpu_freq,price
MSI,Gaming,Windows,Nvidia,Intel Core i7,Full HD,0,1,141.21199808219862,256,1024,0,0,16,2.4,2.8,11.47056061419246
Acer,Notebook,Windows,Intel,Intel Other,Standard,0,0,100.45466986113651,0,1024,0,0,4,2.1,1.1,9.871429128842239
Dell,Gaming,Windows,Nvidia,Intel Core i7,Full HD,0,0,141.21199808219862,128,1024,0,0,8,2.56,2.8,10.942066711088758
Acer,Notebook,Windows,Nvidia,Intel Core i5,Full HD,0,1,127.33567457123111,256,0,0,0,8,3.0,1.6,10.72551156001696
HP,Notebook,Windows,Intel,Intel Core i5,Full HD,0,1,165.6321180513006,0,500,0,0,4,1.49,1.6,10.600975299194493
Huawei,Ultrabook,Windows,Intel,Intel Core i5,Full HD,0,1,199.69207064108247,256,0,0,0,8,1.05,2.5,11.182697691046345
HP,Notebook,Windows,AMD,Intel Core i5,Full HD,0,1,127.33567457123111,0,2048,0,0,6,2.71,2.5,10.52524613700842
Lenovo,Notebook,Other/Linux/No,AMD,AMD,Standard,0,0,100.45466986113651,0,500,0,0,4,2.2,2.9,9.708992194810465
Toshiba,Notebook,Windows,Intel,Intel Core i3,Standard,0,0,100.45466986113651,0,500,0,0,4,2.0,2.4,10.167964967343314
HP,Notebook,Windows,Nvidia,Intel Core i5,Full HD,0,0,127.33567457123111,256,0,0,0,8,2.5,1.6,10.803201648005482
Dell,Notebook,Windows,Intel,Intel Core i3,Standard,0,0,100.45466986113651,0,1024,0,0,8,2.3,2.4,10.10467175249591
Acer,Notebook,Windows,Intel,Intel Core i3,Standard,0,0,100.45466986113651,128,0,0,0,4,2.1,2.0,10.082637418164447
MSI,Gaming,Windows,Nvidia,Intel Core i7,Full HD,0,0,119.7232157653423,512,1024,0,0,32,3.4999999999999996,2.9,11.912587098784716
Lenovo,Notebook,Windows,AMD,Intel Core i5,Full HD,0,0,141.21199808219862,128,1024,0,0,8,1.9,2.5,10.676323531997442
HP,2 in 1 Convertible,Windows,Intel,Intel Core i5,Ultra HD,1,1,202.37276851499232,256,0,0,0,8,1.29,1.6,11.288130550906788
Dell,Notebook,Other/Linux/No,AMD,Intel Core i7,Full HD,0,0,141.21199808219862,256,2048,0,0,16,2.02,1.8,10.931176536200338
Dell,Ultrabook,Windows,Intel,Intel Core i5,Full HD,0,0,165.6321180513006,256,0,0,0,8,1.23,1.6,11.219091173033249
Lenovo,2 in 1 Convertible,Windows,Intel,Intel Core i7,Ultra HD,1,1,202.37276851499232,512,0,0,0,16,1.4,1.8,11.497974250517016
Toshiba,Notebook,Windows,Intel,Intel Core i5,Standard,0,0,100.45466986113651,128,0,0,0,8,2.0,2.5,10.651406968943053
Xiaomi,Notebook,Other/Linux/No,Nvidia,Intel Core i5,Full HD,0,1,141.21199808219862,256,0,0,0,8,1.95,1.6,11.0648242177762
Dell,Notebook,Windows,Nvidia,Intel Core i7,Full HD,1,0,127.33567457123111,512,0,0,0,16,2.77,1.8,11.32094137590512
Dell,Notebook,Windows,Nvidia,Intel Core i7,Ultra HD,1,0,202.37276851499232,512,0,0,0,16,2.06,2.8,11.75754083793557
Lenovo,Gaming,Other/Linux/No,Nvidia,Intel Core i5,Full HD,0,1,141.21199808219862,256,0,0,0,8,2.4,2.5,10.633593274081605
